id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Latitude;Longitude;Vorstadt;Viertel;reference
23;Krongasse 26;26;9;;;Krongasse;Magistrat der Stadt Wien;48.2259011;16.3556994;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
24;Krongasse 27;27;8;;;Krongasse;Magistrat der Stadt Wien;48.2260016;16.355888;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
25;Krongasse 28;28;7;;;Krongasse;Magistrat der Stadt Wien;48.2260734;16.3560227;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
26;Krongasse 29;29;6;;;Krongasse;Magistrat der Stadt Wien;48.2261129;16.3560941;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
27;Pfluggasse 30;30;44;;;Pfluggasse;Magistrat der Stadt Wien;48.2259253;16.3560712;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
28;Pfluggasse 31;31;43;;;Pfluggasse;Magistrat der Stadt Wien;48.2258176;16.3561197;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
29;Pfluggasse 32;32;42;;;Pfluggasse;Magistrat der Stadt Wien;48.2257369;16.3561602;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
30;Pfluggasse 33;33;41;;;Pfluggasse;Magistrat der Stadt Wien;48.225657;16.3561952;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
31;Pfluggasse 34;34;40;;;Pfluggasse;Magistrat der Stadt Wien;48.2255834;16.3562342;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
32;Pfluggasse 35;35;39;;;Pfluggasse;Magistrat der Stadt Wien;48.2255349;16.3562598;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
33;Krongasse 26;26;9;;;Krongasse;Magistrat der Stadt Wien;48.225464;16.3562949;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
34;Pfluggasse 37;37;37;;;Pfluggasse;Magistrat der Stadt Wien;48.2253922;16.3563245;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
35;Pfluggasse 38;38;36;;Gemeindehaus;Pfluggasse;Magistrat der Stadt Wien;48.2253007;16.356369;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
36;Pfluggasse 39;39;27;;;Pfluggasse;Magistrat der Stadt Wien;48.225315;16.3561898;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
37;Pfluggasse 40;40;25;;;Pfluggasse;Magistrat der Stadt Wien;48.2256013;16.3560618;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
38;Pfluggasse 41;41;71;;;Pfluggasse;Magistrat der Stadt Wien;48.2256974;16.3560187;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
39;Pfluggasse 42;42;79;;;Pfluggasse;Magistrat der Stadt Wien;48.2257799;16.3559823;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
40;Krongasse 43;43;80;;;Krongasse;Magistrat der Stadt Wien;48.2258652;16.3559419;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
41;Krongasse 44;44;81;;;Krongasse;Magistrat der Stadt Wien;48.2257288;16.3555741;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
42;Krongasse 45;45;73;;;Krongasse;Magistrat der Stadt Wien;48.2255645;16.3551915;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
43;Obere Hauptstraﬂe 46;46;74;;;Obere Hauptstraﬂe;Magistrat der Stadt Wien;48.2254299;16.3551713;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
44;Lˆwengasse 47;47;75;;;Lˆwengasse;Magistrat der Stadt Wien;48.2251274;16.3550676;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
45;Lˆwengasse 48;48;76;;;Lˆwengasse;Magistrat der Stadt Wien;48.2250736;16.355372;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
46;Obere Hauptstraﬂe 49;49;77;;;Obere Hauptstraﬂe;Magistrat der Stadt Wien;48.2251984;16.3552252;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
47;Lˆwengasse 50;50;65;;;Lˆwengasse;Magistrat der Stadt Wien;48.2251669;16.3554246;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
48;Lˆwengasse 51;51;32;;;Lˆwengasse;Magistrat der Stadt Wien;48.2251562;16.355566;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
49;Lˆwengasse 52;52;33;;;Lˆwengasse;Magistrat der Stadt Wien;48.2251274;16.3557587;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
50;Lˆwengasse 53;53;34;;;Lˆwengasse;Magistrat der Stadt Wien;48.2250521;16.3560268;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
51;Pfluggasse 54;54;35;;;Pfluggasse;Magistrat der Stadt Wien;48.2250422;16.3562881;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
52;Lˆwengasse 55;55;36;;;Lˆwengasse;Magistrat der Stadt Wien;48.2249641;16.3566546;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
53;Hauptstraﬂe 56;56;37;;;Hauptstraﬂe;Magistrat der Stadt Wien;48.2251391;16.3570816;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
54;Fleckfiebergasse 57;57;38;;;Fleckfiebergasse;Magistrat der Stadt Wien;48.2253617;16.3577795;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
55;Fleckfiebergasse 58;58;62;;;Fleckfiebergasse;Magistrat der Stadt Wien;48.2254048;16.3579896;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
56;Fleckfiebergasse 59;59;63;;;Fleckfiebergasse;Magistrat der Stadt Wien;48.225438;16.3581958;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
57;Am Alserbach 61;61;89;;;Am Alserbach;Magistrat der Stadt Wien;48.2251337;16.3591738;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
58;Am Alserbach 62;62;79;;;Am Alserbach;Magistrat der Stadt Wien;48.2250942;16.3589461;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
59;Kirchengasse 63;63;71;;;Kirchengasse;Magistrat der Stadt Wien;48.2250637;16.3586807;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
60;Kirchengasse 64;64;77;;;Kirchengasse;Magistrat der Stadt Wien;48.225219;16.3585352;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
61;Kirchengasse 65;65;76;;;Kirchengasse;Magistrat der Stadt Wien;48.225324;16.3584881;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
62;Kirchengasse 66;66;75;;;Kirchengasse;Magistrat der Stadt Wien;48.2254407;16.3584396;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
63;Kirchengasse 67;67;74;;;Kirchengasse;Magistrat der Stadt Wien;48.2255439;16.3583992;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
64;Kirchengasse 68;68;73;;;Kirchengasse;Magistrat der Stadt Wien;48.2256184;16.3583628;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
65;Kirchengasse 69;69;72;;;Kirchengasse;Magistrat der Stadt Wien;48.2257171;16.358313;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
66;Kirchengasse 70;70;71;;;Kirchengasse;Magistrat der Stadt Wien;48.2258463;16.3582577;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
67;Kirchengasse 71;71;70;;;Kirchengasse;Magistrat der Stadt Wien;48.2259756;16.3581931;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
68;Kirchengasse 72;72;69;;;Kirchengasse;Magistrat der Stadt Wien;48.2259199;16.3580503;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
69;Kirchengasse 73;73;68;;;Kirchengasse;Magistrat der Stadt Wien;48.2257745;16.3581244;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
70;Fleckfiebergasse 74;74;67;;;Fleckfiebergasse;Magistrat der Stadt Wien;48.2255286;16.3581082;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
71;Fleckfiebergasse 75;75;66;;;Fleckfiebergasse;Magistrat der Stadt Wien;48.2255125;16.3580045;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
72;Fleckfiebergasse 76;76;65;;;Fleckfiebergasse;Magistrat der Stadt Wien;48.2254972;16.3579034;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
73;Fleckfiebergasse 77;77;64;;;Fleckfiebergasse;Magistrat der Stadt Wien;48.2254712;16.3577903;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
74;Fleckfiebergasse 78;78;63;;;Fleckfiebergasse;Magistrat der Stadt Wien;48.2254568;16.3576771;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
75;Fleckfiebergasse 79;79;62;;;Fleckfiebergasse;Magistrat der Stadt Wien;48.225438;16.3575801;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
76;Fleckfiebergasse 80;80;61;;;Fleckfiebergasse;Magistrat der Stadt Wien;48.2254155;16.3574723;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
77;Fleckfiebergasse 81;81;60;;;Fleckfiebergasse;Magistrat der Stadt Wien;48.2254038;16.3573694;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
78;Fleckfiebergasse 82;82;59;;;Fleckfiebergasse;Magistrat der Stadt Wien;48.2253747;16.3571951;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
79;Fleckfiebergasse 83;83;0;;;Fleckfiebergasse;Magistrat der Stadt Wien;48.2253297;16.3575632;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
166;Obere Hauptstraﬂe 84;84;84;;;Obere Hauptstraﬂe;Magistrat der Stadt Wien;48.2282594;16.3544644;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
167;Obere Hauptstraﬂe 85;85;85;;;Obere Hauptstraﬂe;Magistrat der Stadt Wien;48.2284572;16.3544205;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
168;Obere Hauptstraﬂe 86;86;86;;;Obere Hauptstraﬂe;Magistrat der Stadt Wien;48.2286671;16.354374;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
169;Obere Hauptstraﬂe 87;87;87;;;Obere Hauptstraﬂe;Magistrat der Stadt Wien;48.228877;16.3543378;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
170;Obere Hauptstraﬂe 88;88;88;;;Obere Hauptstraﬂe;Magistrat der Stadt Wien;48.2291781;16.3542629;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
171;Obere Hauptstraﬂe 89;89;89;;;Obere Hauptstraﬂe;Magistrat der Stadt Wien;48.2293158;16.35425;Himmelpfortgrund;Thury;Behsel Stadtplan, WStLA, P1: 295/17G
