id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Latitude;Longitude;Vorstadt;Viertel;reference;Grundobrigkeit
49;Judengasse 48;48;45;;;Judengasse;48.2232087;16.3625267;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
50;Judengasse 49;49;136;;;Judengasse;48.2232481;16.3628623;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
51;Judengasse 50;50;44;;Spital der israelitischen Gemeinde;Judengasse;48.2233362;16.3632744;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
52;Judengasse zw. Nr. 50 und 51, zw. Nr. 44 und 45 149;149;51;;;Judengasse zw. Nr. 50 und 51, zw. Nr. 44 und 45;48.2232713;16.3634257;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
53;Judengasse zw. Nr. 50 und 51, zw. Nr. 44 und 45 148;148;0;;;Judengasse zw. Nr. 50 und 51, zw. Nr. 44 und 45;48.2234856;16.3641716;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
54;Rothe Löwengasse 51;51;43;;;Rothe Löwengasse;48.2238285;16.3645229;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
55;Rothe Löwengasse 52;52;42;;;Rothe Löwengasse;48.2239478;16.3644012;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
56;Rothe Löwengasse 53;53;41;;;Rothe Löwengasse;48.2244807;16.3638813;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
57;Rothe Löwengasse 54;54;40;;;Rothe Löwengasse;48.2247877;16.3635961;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
58;Rothe Löwengasse, zw. Nr. 54 und 55 142;142;0;;;Rothe Löwengasse, zw. Nr. 54 und 55;48.2249881;16.3634066;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
59;Rothe Löwengasse 55;55;39;;;Rothe Löwengasse;48.2252453;16.3631457;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
60;Rothe Löwengasse 56;56;38;;;Rothe Löwengasse;48.2256669;16.3625006;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
61;Porzellangasse 57;57;0;;Kaiserlich Königlich, zur Porzellanfabrik gehörig;Porzellangasse;48.2250796;16.3617425;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
62;Porzellangasse 58;58;75;;;Porzellangasse;48.224914;16.3617129;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
63;Judengasse 160;160;0;;;Judengasse;48.2247031;16.3617025;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
64;Porzellangasse 59;59;0;;;Porzellangasse;48.2245409;16.3616834;Rossau;Rossau;Behsel Stadtplan, WStLA, P1: 295/19G;Magistrat der Stadt Wien
