id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Latitude;Longitude;Vorstadt;Viertel;reference
239;Am Alserbach 238;238;208;;;Am Alserbach;Magistrat der Stadt Wien;48.2231525;16.3538783;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
240;Am Alserbach 239;239;249;;;Am Alserbach;Magistrat der Stadt Wien;48.22334;16.3539454;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
241;Am Alserbach 240;240;250;;;Am Alserbach;Magistrat der Stadt Wien;48.2235394;16.3540306;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
242;Am Alserbach 241;241;251;;;Am Alserbach;Magistrat der Stadt Wien;48.2237406;16.3540874;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
243;Am Alserbach 242;242;252;;;Am Alserbach;Magistrat der Stadt Wien;48.2239556;16.3541468;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
244;Am Alserbach 243;243;253;;;Am Alserbach;Magistrat der Stadt Wien;48.2241018;16.3541906;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
245;Am Alserbach 244;244;268;;;Am Alserbach;Magistrat der Stadt Wien;48.2243975;16.354361;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
246;Am Alserbach 245;245;261;;;Am Alserbach;Magistrat der Stadt Wien;48.2244646;16.3546294;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
247;Am Alserbach 246;246;223;128;;Am Alserbach;Magistrat der Stadt Wien;48.2245746;16.3550347;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
248;Am Alserbach 247;247;262;;;Am Alserbach;Magistrat der Stadt Wien;48.2246864;16.3554838;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
249;Am Alserbach 248;248;222;127;;Am Alserbach;Magistrat der Stadt Wien;48.2247827;16.356;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
250;Am Alserbach 249;249;221;126;;Am Alserbach;Magistrat der Stadt Wien;48.2246572;16.3567227;Alservorstadt;Alservorstadt;Behsel Stadtplan, WStLA, P1: 295/15G
