id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Vorstadt;lat;lon;reference;Viertel
457;Johannagasse 13;13;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1856701;16.3469283;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
458;Johannagasse 45;45;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1854075;16.3469143;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
459;Johannagasse 44;44;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1852168;16.3470667;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
460;Johannagasse 16;16;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1852262;16.3473574;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
461;Johannagasse 17;17;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1850605;16.3475027;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
462;Johannagasse 18;18;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1848635;16.3476411;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
463;Johannagasse 43;43;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1850433;16.3472073;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
464;Johannagasse 42;42;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.184876;16.347355;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
465;Johannagasse 19;19;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1847041;16.3477794;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
466;Johannagasse 41;41;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1846884;16.3474981;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
467;Johannagasse 40;40;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1845087;16.34762;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
468;Johannagasse 39;39;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1843352;16.3477583;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
469;Johannagasse 38;38;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1841663;16.3478943;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
470;Johannagasse 20;20;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1845118;16.3479177;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
471;Johannagasse 21;21;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1843336;16.3480514;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
472;Johannagasse 22;22;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1841663;16.3481991;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
473;Johannagasse 23;23;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1839834;16.3483397;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
474;Johannagasse 37;37;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1839788;16.3480373;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
475;Johannagasse 36;36;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1837974;16.3481686;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
476;Johannagasse 24;24;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1838224;16.348464;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
477;Johannagasse 25;25;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1836442;16.3485906;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
478;Johannagasse 26;26;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.183441;16.3487336;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
479;Johannagasse 35;35;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1836192;16.3482975;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
480;Johannagasse 34;34;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1834363;16.3484452;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
481;Johannagasse 33;33;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1832581;16.3485929;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
482;Johannagasse 27;27;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1832675;16.3488813;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
483;Johannagasse 28;28;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1830752;16.3490103;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
484;Johannagasse 32;32;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1830799;16.3487219;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
485;Johannagasse 31;31;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1828892;16.3488837;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
486;Johannagasse 29;29;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1828986;16.3491533;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
487;Johannagasse 30;30;14;13;;Johannagasse;Herrschaft Hundsthurm;Hundsthurm;48.1827173;16.349308;Behsel Stadtplan, WStLA, P1: 295/100;Hundsthurm
