id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Latitude;Longitude;Vorstadt;Viertel;reference
99;Kaiserstraﬂe 101;101;98;92;;Kaiserstraﬂe;Magistrat der Stadt Wien;48.2095103;16.3507613;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
100;Kaiserstraﬂe 102;102;99;93;;Kaiserstraﬂe;Magistrat der Stadt Wien;48.2094913;16.3509962;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
101;Kaiserstraﬂe 103;103;100;94;;Kaiserstraﬂe;Magistrat der Stadt Wien;48.2094692;16.3512501;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
102;Kaiserstraﬂe 104;104;101;95;;Kaiserstraﬂe;Magistrat der Stadt Wien;48.209447;16.3515015;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
103;Kaiserstraﬂe 105;105;102;96;;Kaiserstraﬂe;Magistrat der Stadt Wien;48.2094281;16.3517743;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
104;Kaiserstraﬂe 106;106;103;97;;Kaiserstraﬂe;Magistrat der Stadt Wien;48.2094138;16.3520021;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
105;Lange Gasse 107;107;104;98;;Lange Gasse;Magistrat der Stadt Wien;48.2099261;16.3519238;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
106;Lange Gasse 108;108;105;99;;Lange Gasse;Magistrat der Stadt Wien;48.2100968;16.3518692;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
107;Lange Gasse 109;109;106;100;;Lange Gasse;Magistrat der Stadt Wien;48.2102755;16.3518265;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
108;Lange Gasse 110;110;107;101;;Lange Gasse;Magistrat der Stadt Wien;48.2104304;16.3517696;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
109;Lange Gasse 111;111;108;102;;Lange Gasse;Magistrat der Stadt Wien;48.2106897;16.3516889;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
110;Lange Gasse 112;112;109;103;;Lange Gasse;Magistrat der Stadt Wien;48.2108541;16.3516391;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
111;Lange Gasse 113;113;110;104;;Lange Gasse;Magistrat der Stadt Wien;48.2110106;16.3515846;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
112;Lange Gasse 114;114;111;105;;Lange Gasse;Magistrat der Stadt Wien;48.2111877;16.3515229;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
113;Lange Gasse 115;115;112;106;;Lange Gasse;Magistrat der Stadt Wien;48.2114596;16.3514161;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
114;Florianigassse 116;116;113;106;;Florianigassse;Magistrat der Stadt Wien;48.2117299;16.3512382;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
115;Florianigassse 117;117;114;106;;Florianigassse;Magistrat der Stadt Wien;48.2116904;16.3508515;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
116;Florianigassse 118;118;115;106;;Florianigassse;Magistrat der Stadt Wien;48.2116746;16.3505502;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
117;Florianigassse 119;119;116;106;;Florianigassse;Magistrat der Stadt Wien;48.2116082;16.3501706;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
118;Piaristengasse 120;120;117;107;;Piaristengasse;Magistrat der Stadt Wien;48.2113932;16.3502181;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
119;Piaristengasse 121;121;118;108;;Piaristengasse;Magistrat der Stadt Wien;48.2112161;16.3502655;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
120;Piaristengasse 122;122;119;109;;Piaristengasse;Magistrat der Stadt Wien;48.211047;16.3502987;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
121;Piaristengasse 123;123;120;110;;Piaristengasse;Magistrat der Stadt Wien;48.2108889;16.3503343;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
122;Piaristengasse 124;124;121;111;;Piaristengasse;Magistrat der Stadt Wien;48.2107134;16.3503818;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
123;Piaristengasse 125;125;122;112;;Piaristengasse;Magistrat der Stadt Wien;48.2104557;16.3504434;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
124;Piaristengasse 126;126;123;113;;Piaristengasse;Magistrat der Stadt Wien;48.2102929;16.3504861;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
125;Piaristengasse 127;127;124;114;;Piaristengasse;Magistrat der Stadt Wien;48.2101142;16.3505241;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
126;Piaristengasse 128;128;125;115;;Piaristengasse;Magistrat der Stadt Wien;48.2099466;16.3505526;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
127;Kaiserstraﬂe 129;129;140;150;;Kaiserstraﬂe;Magistrat der Stadt Wien;48.2096731;16.3491339;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
128;Kaiserstraﬂe 130;130;175;;;Kaiserstraﬂe;Magistrat der Stadt Wien;48.2096399;16.3494233;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
129;Kaiserstraﬂe 131;131;127;149;;Kaiserstraﬂe;Magistrat der Stadt Wien;48.209602;16.3497388;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
130;Kaiserstraﬂe 132;132;126;148;;Kaiserstraﬂe;Magistrat der Stadt Wien;48.2095546;16.350192;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
131;Piaristengasse 133;133;128;152;;Piaristengasse;Magistrat der Stadt Wien;48.2097838;16.3503889;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
132;Piaristengasse 134;134;129;116;Piaristen-Kollegium;Piaristengasse;Magistrat der Stadt Wien;48.2101854;16.350294;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
133;Piaristengasse 135;135;130;117;Lˆwenburgisches Konvikt;Piaristengasse;Magistrat der Stadt Wien;48.211096;16.3500852;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
134;Piaristengasse 136;136;131;118;;Piaristengasse;Magistrat der Stadt Wien;48.2114422;16.3500093;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
135;Piaristengasse 137;137;132;;;Piaristengasse;Magistrat der Stadt Wien;48.2117268;16.3498622;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
136;Florianigassse 138;138;133;119;Piaristen-Zinnshaus;Florianigassse;Magistrat der Stadt Wien;48.2117615;16.3496012;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
137;Florianigassse 139;139;134;120;;Florianigassse;Magistrat der Stadt Wien;48.21179;16.3493403;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
138;Florianigassse 140;140;135;121;;Florianigassse;Magistrat der Stadt Wien;48.2118169;16.3490959;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
139;Florianigassse 141;141;136;122;;Florianigassse;Magistrat der Stadt Wien;48.2118438;16.3488563;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
140;Lederergasse 142;142;137;147;Schulhaus und Metznerswohnungen bei den P. P. Piaristen;Lederergasse;Magistrat der Stadt Wien;48.2102502;16.3489251;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
141;Lederergasse 143;143;138;151;;Lederergasse;Magistrat der Stadt Wien;48.2100858;16.348937;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
142;Lederergasse 144;144;139;153;;Lederergasse;Magistrat der Stadt Wien;48.2099182;16.3489607;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
143;Kaiserstraﬂe 145;145;159;129;;Kaiserstraﬂe;Magistrat der Stadt Wien;48.2097648;16.3484008;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
144;Kaiserstraﬂe 146;146;141;128;;Kaiserstraﬂe;Magistrat der Stadt Wien;48.2097253;16.3486997;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
145;Lederergasse 147;147;177;;;Lederergasse;Magistrat der Stadt Wien;48.2100541;16.3487496;Josephstadt;Josephstadt;Behsel Stadtplan, WStLA, P1: 295/14G
