ID;primäres_Label_viecpro;Adresse;alternatives_label_adress1822;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Latitude;Longitude;Stadtviertel
235;Obere Bäckerstraße, Schlechtleuthnerisches Haus;Obere Bäckerstraße 752;752;798;783;;Obere Bäckerstraße;Magistrat der Stadt Wien;48.20962645;16.37567944;Stubenviertel
236;Obere Bäckerstraße, Czaschellisches Haus;Obere Bäckerstraße 753;753;799;782;;Obere Bäckerstraße;Magistrat der Stadt Wien;48.20952453;16.37588499;Stubenviertel
237;Obere Bäckerstraße, Satorisches Haus;Obere Bäckerstraße 754;754;800;781;;Obere Bäckerstraße;Magistrat der Stadt Wien;48.20943796;16.37610863;Stubenviertel
238;Obere Bäckerstraße, Windhagisches Haus;Obere Bäckerstraße 755;755;801;780;;Obere Bäckerstraße;Magistrat der Stadt Wien;48.20931961;16.37638324;Stubenviertel
239;Untere Bäckerstraße, Löwenstockisches Haus;Universitätsplatz 756;756;802;779;K. K. Universität;Universitätsplatz;Magistrat redimiert;48.20905222;16.37684861;Stubenviertel
240;Obere Bäckerstraße, Thomasisches Haus;Obere Bäckerstraße 760;760;806;792;;Obere Bäckerstraße;Magistrat der Stadt Wien;48.20877168;16.3767483;Stubenviertel
241;Obere Bäckerstraße, Rechbergisches Haus;Obere Bäckerstraße 761;761;807;791;;Obere Bäckerstraße;Magistrat der Stadt Wien;48.2088808;16.3764351;Stubenviertel
242;Obere Bäckerstraße, Hainbrunnerische Haus;Obere Bäckerstraße 762;762;808;790;;Obere Bäckerstraße;Magistrat der Stadt Wien;48.20896565;16.37620071;Stubenviertel
243;Obere Bäckerstraße, Wo die Kuh im Brett spielt;Obere Bäckerstraße 763;763;809;789;;Obere Bäckerstraße;Magistrat der Stadt Wien;48.20904017;16.37601654;Stubenviertel
244;Obere Bäckerstraße, Rascherisches Haus;Obere Bäckerstraße 764;764;810;788;;Obere Bäckerstraße;Magistrat der Stadt Wien;48.2091552;16.3757778;Stubenviertel
245;Obere Bäckerstraße, Grädlisches Haus;Obere Bäckerstraße 765;765;811;787;;Obere Bäckerstraße;Magistrat der Stadt Wien;48.2092628;16.375577;Stubenviertel
246;Obere Bäckerstraße, Pestaluzisches Haus;Obere Bäckerstraße 767;767;813;785;;Obere Bäckerstraße;Magistrat der Stadt Wien;48.2096498;16.3746795;Stubenviertel
247;Federlhof;Bischofgasse 768;768;814;627;;Bischofgasse;Magistrat der Stadt Wien;48.20990369;16.37402188;Stubenviertel
248;Lubeck, Lumagosches Haus;Bischofgasse 769;769;815;626;;Bischofgasse;Magistrat der Stadt Wien;48.20975137;16.37378838;Stubenviertel
249;Obere Bäckerstraße, Zum schmeckenden Wurm;Wollzeile 772;772;818;814;;Wollzeile;Magistrat der Stadt Wien;48.2095986;16.3748504;Stubenviertel
250;Wollzeile, Monquentinisches Haus;Wollzeile 773;773;819;813;;Wollzeile;Magistrat der Stadt Wien;48.2091191;16.3747271;Stubenviertel
251;;Seilerstätte 805;805;855;1374;;Seilerstätte;Magistrat der Stadt Wien;48.20584018;16.37579455;Kärntnerviertel
252;Wollzeile, Schlüsselbergerisches Haus;Wollzeile 776;776;823;809;;Wollzeile;Magistrat der Stadt Wien;48.20873552;16.37562189;Stubenviertel
253;Wollzeile, Putzisches Haus;Wollzeile 777;777;824;808;;Wollzeile;Magistrat der Stadt Wien;48.20863251;16.37587512;Stubenviertel
254;Wollzeile, Degetzisches Haus;Wollzeile 778;778;825;807;;Wollzeile;Magistrat der Stadt Wien;48.20854046;16.37612178;Stubenviertel
255;Wollzeile, Haffnerisches Haus;Wollzeile 779;779;826;806;;Wollzeile;Magistrat der Stadt Wien;48.2084484;16.37636844;Stubenviertel
256;Wollzeile, Zum roten Engel;Wollzeile 780;780;827;805;;Wollzeile;Magistrat der Stadt Wien;48.2083608;16.3766114;Stubenviertel
257;Wollzeile, Pfannisches Haus;Wollzeile 781;781;828;804;;Wollzeile;Magistrat der Stadt Wien;48.20830156;16.37684203;Stubenviertel
258;Stubentor, Zum scharfen Eck;Wollzeile 783;783;830;802;;Wollzeile;Magistrat der Stadt Wien;48.20816896;16.37736824;Stubenviertel
259;Wollzeile, Königsackherisches Haus;Wollzeile 784;784;831;801;;Wollzeile;Magistrat der Stadt Wien;48.20806485;16.37761161;Stubenviertel
260;Stubentor, Zum blauen Bock;Wollzeile 787;787;834;798;;Wollzeile;Magistrat der Stadt Wien;48.20796184;16.37831213;Stubenviertel
261;Riemergasse, Pozzisches Haus;Riemerstraße 795;795;842;836;;Riemerstraße;Magistrat der Stadt Wien;48.20757718;16.37723669;Stubenviertel
