id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Latitude;Longitude;Vorstadt;Viertel;reference
28;Mayergasse 33;33;56;;;Mayergasse;Herrschaft Seegenthal;48.2129722;16.3940189;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
29;Mayergasse 34;34;55;;;Mayergasse;Herrschaft Seegenthal;48.2129035;16.394247;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
30;Mayergasse 35;35;54;;;Mayergasse;Herrschaft Seegenthal;48.2125225;16.3948655;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
31;Mayergasse 36;36;53;;;Mayergasse;Herrschaft Seegenthal;48.2123477;16.3952966;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
32;Mayergasse 37;37;52;;;Mayergasse;Herrschaft Seegenthal;48.2115567;16.3957745;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
629;Praterstraße 46;46;18;15;;Praterstraße;Herrschaft Seegenthal;48.214648;16.3917779;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
630;Praterstraße 47;47;17;14;;Praterstraße;Herrschaft Seegenthal;48.2136552;16.392062;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
631;Praterstraße 45;45;19;16;;Praterstraße;Herrschaft Seegenthal;48.2143766;16.3918127;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
632;Mayergasse 42;42;48 1/2;;;Mayergasse;Herrschaft Seegenthal;48.2140275;16.3919011;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
633;Praterstraße 44;44;20;17;;Praterstraße;Herrschaft Seegenthal;48.2133186;16.3931984;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
634;Praterstraße 43;43;21;18;;Praterstraße;Herrschaft Seegenthal;48.2134659;16.3927028;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
635;Praterstraße 48;48;16;13;;Praterstraße;Herrschaft Seegenthal;48.2132303;16.3934478;Jägerzeile;Jägerzeile;Behsel Stadtplan, WStLA, P1: 295/2
