id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Vorstadt;Latitude;Longitude;reference;Viertel
370;Windmühlgasse 42;42;86;;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1987561;16.3576712;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
371;Windmühlgasse 43;43;89;;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1988579;16.3579555;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
372;Windmühlgasse 44;44;41;83;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1989337;16.3581992;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
373;Windmühlgasse 45;45;87;;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1989586;16.3582706;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
374;Windmühlgasse 46;46;42;41;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1990668;16.3585273;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
375;Windmühlgasse 47;47;43;42;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1991275;16.3587287;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
376;Krongasse 48;48;44;43;;Krongasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1993559;16.3586264;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
377;Krongasse 49;49;45;44;;Krongasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1994696;16.3585192;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
378;Krongasse 50;50;46;45;;Krongasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1995973;16.3583973;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
379;Krongasse 51;51;84;;;Krongasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1995724;16.3580578;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
380;Krongasse 52;52;88;;;Krongasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.199671;16.3580416;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
381;Krongasse 53;53;85;;Schulhaus der Gemeinde Windmühl;Krongasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1997673;16.3582446;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
382;Krongasse 54;54;47;82;;Krongasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1995335;16.3586897;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
383;Krongasse 55;55;48;48;;Krongasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1995064;16.3590471;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
384;Krongasse 56;56;49;49;;Krongasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1992617;16.3590974;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
385;Obere Pfarrgasse 57;57;50;47;;Obere Pfarrgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1996222;16.3589464;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
386;Obere Pfarrgasse 58;58;51;46;;Obere Pfarrgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1997598;16.3588229;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
387;Obere Pfarrgasse 59;59;52;"50;54";;Obere Pfarrgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1998821;16.3593053;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
388;Obere Pfarrgasse 60;60;53;51;;Obere Pfarrgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1995757;16.3592387;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
389;Obere Pfarrgasse 61;61;54;52;;Obere Pfarrgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1994014;16.3594515;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
390;Rosengasse 62;62;55;53;;Rosengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1994653;16.3596513;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
391;Rosengasse 63;63;56;55;;Rosengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2000034;16.3594061;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
392;Rosengasse 64;64;57;56;;Rosengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1998659;16.3595636;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
393;Rosengasse 65;65;58;57;;Rosengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1997468;16.3597001;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
394;Kothgasse 66;66;59;58;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1995822;16.3599795;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
395;Kothgasse 67;67;60;59;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1996742;16.3602605;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
396;Kothgasse 68;68;61;60;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1997922;16.3606032;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
397;Kothgasse 69;69;62;61;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2000044;16.3609736;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
398;Kothgasse 70;70;63;62;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.2003931;16.3604879;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
444;Mariahilfer Hauptstraße 71;71;64;63;;Mariahilfer Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1963424;16.3426705;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
445;Mariahilfer Hauptstraße 72;72;65;64;;Mariahilfer Hauptstraße;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1964151;16.3430884;Behsel Stadtplan, WStLA, P1: 295/11G;Windmühle
