id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Vorstadt;Latitude;Longitude;reference;Viertel
102;An der Wien 102;102;93;72;;An der Wien;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1968457;16.3567094;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
103;An der Wien 103;103;179;0;;An der Wien;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1967859;16.3564853;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
104;An der Wien 104;104;94;73;;An der Wien;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.196753;16.3562567;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
105;An der Wien 105;105;95;74;;An der Wien;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1967042;16.3560221;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
106;An der Wien 106;106;96;75;;An der Wien;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1966325;16.3558861;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
107;An der Wien 107;107;97;76;;An der Wien;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1965986;16.3556784;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
108;An der Wien 108;108;98;77;;An der Wien;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1965329;16.3555006;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
109;An der Wien 109;109;99;78;;An der Wien;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1964791;16.3553243;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
110;Untere Gestättengasse 110;110;100;131;;Untere Gestättengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1970269;16.3543411;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
111;Untere Gestättengasse 111;111;101;130;;Untere Gestättengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1969064;16.3545667;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
112;Untere Gestättengasse 112;112;102;129;;Untere Gestättengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1968546;16.3546638;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
113;Untere Gestättengasse 113;113;103;128;;Untere Gestättengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1967949;16.3547849;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
114;Untere Gestättengasse 114;114;104;127;;Untere Gestättengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1967391;16.3549208;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
115;Untere Gestättengasse 115;115;183;0;;Untere Gestättengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1970369;16.3558218;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
116;Untere Gestättengasse 116;116;105;170;;Untere Gestättengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1971136;16.3560116;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
117;Untere Gestättengasse 117;117;106;169;;Untere Gestättengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1971973;16.3562029;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
118;Untere Gestättengasse 118;118;107;120;;Untere Gestättengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.197518;16.3565914;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
119;Untere Gestättengasse 119;119;108;121;;Untere Gestättengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1974233;16.3563777;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
120;Untere Gestättengasse 120;120;109;122;;Untere Gestättengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1973327;16.3561431;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
121;Untere Gestättengasse 121;121;110;123;;Untere Gestättengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.197256;16.3559683;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
122;Untere Gestättengasse 122;122;111;124;;Untere Gestättengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1971763;16.3557785;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
123;Untere Gestättengasse 123;123;174;0;;Untere Gestättengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1970767;16.3555529;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
124;Untere Gestättengasse 124;124;112;125;;Untere Gestättengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.196998;16.3553691;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
125;Untere Gestättengasse 125;125;113;126;;Untere Gestättengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1969343;16.3551943;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
126;Obere Gestättengasse 126;126;114;134;;Obere Gestättengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1973486;16.354758;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
127;Obere Gestättengasse 127;127;115;135;;Obere Gestättengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1973955;16.3549343;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
128;Obere Gestättengasse 128;128;116;137;;Obere Gestättengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1974482;16.3550897;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
129;Obere Gestättengasse 129;129;117;103;;Obere Gestättengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.197505;16.355275;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
130;Obere Gestättengasse 130;130;118;104;;Obere Gestättengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1975688;16.3554677;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
131;Obere Gestättengasse 131;131;119;105;;Obere Gestättengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1976305;16.3556635;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
132;Obere Gestättengasse 132;132;175;0;;Obere Gestättengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1977351;16.3559907;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
133;Obere Gestättengasse 133;133;120;106;;Obere Gestättengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1978954;16.3564898;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
134;Obere Gestättengasse 136;136;186;0;;Obere Gestättengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1973596;16.3543769;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
135;Obere Gestättengasse 135;135;122;132;;Obere Gestättengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1974572;16.3546817;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
136;Obere Gestättengasse 134;134;121;102;;Obere Gestättengasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1975269;16.3548865;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
137;Kothgasse 137;137;123;133;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1977988;16.3550224;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
138;Kothgasse 138;138;124;98;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1978576;16.3552421;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
139;Kothgasse 139;139;125;99;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1979462;16.3555648;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
140;Kothgasse 140;140;126;100;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1980349;16.3559025;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
141;Kothgasse 141;141;127;107;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1983058;16.3568304;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
142;Kothgasse 142;142;128;108;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1984114;16.3571248;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
143;Kothgasse 143;143;129;94;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1985319;16.3570665;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
144;Kothgasse 144;144;177;0;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1984412;16.3567961;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
145;Kothgasse 145;145;130;95;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1983426;16.3564942;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
146;Kothgasse 146;146;131;96;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.198258;16.3562193;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
147;Kothgasse 147;147;132;97;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1981425;16.3558144;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
148;Windmühlgasse 148;148;133;140;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1984482;16.355922;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
149;Windmühlgasse 149;149;134;50;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1985956;16.3560833;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
150;Windmühlgasse 150;150;135;93;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1989094;16.3564405;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
151;Windmühlgasse 151;151;135;93;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1988606;16.3566242;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
152;Windmühlgasse 152;152;136;92;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1990707;16.3566257;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
153;Windmühlgasse 153;153;137;139;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1988606;16.3568992;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
154;Windmühlgasse 154;154;138;69;;Windmühlgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1987689;16.3570322;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
155;Kothgasse 155;155;139;68;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1986424;16.3573729;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
156;Kothgasse 156;156;140;60;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1987301;16.3580453;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
157;Kothgasse 157;157;141;61;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1988147;16.3582634;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
158;Kothgasse 158;158;142;62;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1988934;16.358504;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
159;Kothgasse 159;159;143;63;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1989691;16.3587087;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
160;Kothgasse 160;160;144;64;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1990329;16.3588641;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
161;Kothgasse 161;161;145;65;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1990926;16.3590419;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
162;Kothgasse 162;162;146;151;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1991673;16.3592436;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
163;Kothgasse 163;163;147;66;;Kothgasse;Magistrat der Stadt Wien;Spittelberg, Mariahilf;48.1993227;16.3596994;Behsel Stadtplan, WStLA, P1: 295/11G;Laimgrube
