id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;lat;lon;reference;Viertel
424;Matzleinsdorfer Hauptstraﬂe 50;50;48;;;Matzleinsdorfer Hauptstraﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1849245;16.3619168;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
425;Matzleinsdorfer Hauptstraﬂe 8;8;8;;;Matzleinsdorfer Hauptstraﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1843242;16.3617785;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
426;Matzleinsdorfer Hauptstraﬂe 7;7;7;;;Matzleinsdorfer Hauptstraﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1844289;16.3619285;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
427;Matzleinsdorfer Hauptstraﬂe 6;6;6;;;Matzleinsdorfer Hauptstraﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1845603;16.3620879;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
428;Matzleinsdorfer Hauptstraﬂe 5;5;5;;;Matzleinsdorfer Hauptstraﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1846916;16.3622544;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
429;Matzleinsdorfer Hauptstraﬂe 51;51;49;;;Matzleinsdorfer Hauptstraﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1850949;16.3620645;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
430;Matzleinsdorfer Hauptstraﬂe 52;52;50;;;Matzleinsdorfer Hauptstraﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1853293;16.362245;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
431;Matzleinsdorfer Hauptstraﬂe 4;4;4;;;Matzleinsdorfer Hauptstraﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1848166;16.3623787;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
432;Matzleinsdorfer Hauptstraﬂe 3;3;3;;;Matzleinsdorfer Hauptstraﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1849745;16.3625264;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
434;Matzleinsdorfer Hauptstraﬂe 1;1;1;;Religionsfond Pfarrof;Matzleinsdorfer Hauptstraﬂe;Magistrat der Stadt Wien;Matzleinsdorf;48.1853074;16.3628194;Behsel Stadtplan, WStLA, P1: 295/100;Matzleinsdorf
