id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Latitude;Longitude;Vorstadt;Viertel;reference
94;Windm¸hlgasse 15;15;19;;;Windm¸hlgasse;Magistrat der Stadt Wien;48.2264918;16.3536696;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
95;Sechschimmelgasse 16;16;3;;;Sechschimmelgasse;Magistrat der Stadt Wien;48.2255032;16.3530995;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
96;Sechschimmelgasse 17;17;4;;;Sechschimmelgasse;Magistrat der Stadt Wien;48.2254232;16.3533026;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
97;Sechschimmelgasse 18;18;2;;;Sechschimmelgasse;Magistrat der Stadt Wien;48.2252095;16.3531088;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
98;Sechschimmelgasse 19;19;54;;;Sechschimmelgasse;Magistrat der Stadt Wien;48.2253263;16.3527303;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
99;Sechschimmelgasse 20;20;1;;;Sechschimmelgasse;Magistrat der Stadt Wien;48.2257922;16.3529657;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
100;Windm¸hlgasse 21;21;20;;;Windm¸hlgasse;Magistrat der Stadt Wien;48.2260951;16.3531642;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
101;Windm¸hlgasse 22;22;21;;;Windm¸hlgasse;Magistrat der Stadt Wien;48.2264088;16.3533073;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
102;S‰ulengasse 23;23;55;;;S‰ulengasse;Magistrat der Stadt Wien;48.2266871;16.3528872;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
103;S‰ulengasse 24;24;;;;S‰ulengasse;Magistrat der Stadt Wien;48.2268301;16.3528134;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
104;S‰ulengasse 25;25;;;;S‰ulengasse;Magistrat der Stadt Wien;48.226807;16.353028;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
105;Himmelpfortgasse 26;26;56;;;Himmelpfortgasse;Magistrat der Stadt Wien;48.2268593;16.3533026;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
106;S‰ulengasse 27;27;71;;;S‰ulengasse;Magistrat der Stadt Wien;48.226847;16.3537388;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
107;S‰ulengasse 28;28;22;;;S‰ulengasse;Magistrat der Stadt Wien;48.2267163;16.353965;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
108;S‰ulengasse 29;29;23;;;S‰ulengasse;Magistrat der Stadt Wien;48.2266901;16.3542212;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
109;S‰ulengasse 30;30;24;;;S‰ulengasse;Magistrat der Stadt Wien;48.226664;16.3545005;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
110;S‰ulengasse 31;31;25;;;S‰ulengasse;Magistrat der Stadt Wien;48.2266348;16.354752;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
111;Obere Hauptstraﬂe 32;32;26;;;Obere Hauptstraﬂe;Magistrat der Stadt Wien;48.2266409;16.3551282;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
112;Obere Hauptstraﬂe 33;33;27;;;Obere Hauptstraﬂe;Magistrat der Stadt Wien;48.2267855;16.3551144;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
113;Obere Hauptstraﬂe 34;34;28;;;Obere Hauptstraﬂe;Magistrat der Stadt Wien;48.2269377;16.3550474;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
114;Obere Hauptstraﬂe 35;35;29;;;Obere Hauptstraﬂe;Magistrat der Stadt Wien;48.2270976;16.354969;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
115;Obere Hauptstraﬂe 36;36;30;;;Obere Hauptstraﬂe;Magistrat der Stadt Wien;48.2272375;16.3549067;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
116;Brunngasse 37;37;57;;;Brunngasse;Magistrat der Stadt Wien;48.2272067;16.3542927;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
117;Brunngasse 38;38;58;;;Brunngasse;Magistrat der Stadt Wien;48.2272144;16.3540573;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
118;Brunngasse 39;39;70;;;Brunngasse;Magistrat der Stadt Wien;48.2272313;16.3537942;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
119;Brunngasse 40;40;69;;;Brunngasse;Magistrat der Stadt Wien;48.2272544;16.3533488;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
120;Brunngasse 41;41;78;;;Brunngasse;Magistrat der Stadt Wien;48.2272667;16.3530903;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
121;Brunngasse 42;42;79;;;Brunngasse;Magistrat der Stadt Wien;48.2272852;16.352841;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
122;Brunngasse 43;43;80;;;Brunngasse;Magistrat der Stadt Wien;48.2272959;16.3525618;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
123;Brunngasse 44;44;81;;;Brunngasse;Magistrat der Stadt Wien;48.227319;16.352301;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
124;Brunngasse 85;85;;;;Brunngasse;Magistrat der Stadt Wien;48.2273321;16.3521037;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
125;Brunngasse 45;45;73;;;Brunngasse;Magistrat der Stadt Wien;48.227465;16.3521694;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
126;Brunngasse 46;46;74;;;Brunngasse;Magistrat der Stadt Wien;48.2274458;16.3523656;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
127;Brunngasse 47;47;75;;;Brunngasse;Magistrat der Stadt Wien;48.227432;16.3525929;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
128;Brunngasse 48;48;76;;;Brunngasse;Magistrat der Stadt Wien;48.2274158;16.3527972;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
129;Brunngasse 49;49;77;;;Brunngasse;Magistrat der Stadt Wien;48.2274059;16.3529876;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
130;Brunngasse 50;50;65;;;Brunngasse;Magistrat der Stadt Wien;48.2273713;16.3538115;Thury;Himmelpfortgrund;Behsel Stadtplan, WStLA, P1: 295/17G
