id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;lat;lon;reference;Viertel
383;Hauptstraﬂe 146;146;143;;;Hauptstraﬂe;Domkapitel;Landstraﬂe;48.1959916;16.396478;Behsel Stadtplan, WStLA, P1: 295/8;
384;Hauptstraﬂe 145;145;142;;;Hauptstraﬂe;Domkapitel;Landstraﬂe;48.1961012;16.3964016;Behsel Stadtplan, WStLA, P1: 295/8;
385;Hauptstraﬂe 194;194;174;176;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1959694;16.3960243;Behsel Stadtplan, WStLA, P1: 295/8;
386;Hauptstraﬂe 195;195;175;175;;Hauptstraﬂe;P. P. Dominikaner;Landstraﬂe;48.1961987;16.3958731;Behsel Stadtplan, WStLA, P1: 295/8;
387;Hauptstraﬂe 144;144;141;;;Hauptstraﬂe;Domkapitel;Landstraﬂe;48.1962009;16.3963584;Behsel Stadtplan, WStLA, P1: 295/8;
388;Hauptstraﬂe 153;153;510;;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1950012;16.3973605;Behsel Stadtplan, WStLA, P1: 295/8;
389;Steingasse 184;184;163;386;;Steingasse;Magistrat der Stadt Wien;Landstraﬂe;48.1939964;16.3946732;Behsel Stadtplan, WStLA, P1: 295/8;
390;Steingasse 185;185;165;"385;465";;Steingasse;P. P. Dominikaner;Landstraﬂe;48.194167;16.3948909;Behsel Stadtplan, WStLA, P1: 295/8;
391;Steingasse 186;186;166;384;;Steingasse;P. P. Dominikaner;Landstraﬂe;48.1943077;16.3950754;Behsel Stadtplan, WStLA, P1: 295/8;
392;Steingasse 187;187;167;372;;Steingasse;P. P. Dominikaner;Landstraﬂe;48.1943896;16.3951784;Behsel Stadtplan, WStLA, P1: 295/8;
393;Steingasse 188;188;168;371;;Steingasse;P. P. Dominikaner;Landstraﬂe;48.1945226;16.3953513;Behsel Stadtplan, WStLA, P1: 295/8;
394;Steingasse 181;181;150;;;Steingasse;"Magistrat der Stadt Wien;Stift Schotten;P. P. Dominikaner;Herrschaft Seegenthal";Landstraﬂe;48.1939864;16.3949308;Behsel Stadtplan, WStLA, P1: 295/8;
395;Steingasse 180;180;493;;;Steingasse;P. P. Dominikaner;Landstraﬂe;48.194095;16.3950721;Behsel Stadtplan, WStLA, P1: 295/8;
396;Steingasse 179;179;161;335;;Steingasse;P. P. Dominikaner;Landstraﬂe;48.1942567;16.3952482;Behsel Stadtplan, WStLA, P1: 295/8;
397;Steingasse 178;178;160;380;;Steingasse;P. P. Dominikaner;Landstraﬂe;48.1944306;16.3954958;Behsel Stadtplan, WStLA, P1: 295/8;
398;Steingasse 189;189;169;370;;Steingasse;P. P. Dominikaner;Landstraﬂe;48.194681;16.3955324;Behsel Stadtplan, WStLA, P1: 295/8;
399;Steingasse 190;190;170;369;;Steingasse;P. P. Dominikaner;Landstraﬂe;48.194835;16.3957252;Behsel Stadtplan, WStLA, P1: 295/8;
400;Steingasse 191;191;171;368;;Steingasse;P. P. Dominikaner;Landstraﬂe;48.1949724;16.395898;Behsel Stadtplan, WStLA, P1: 295/8;
401;Steingasse 177;177;159;179;;Steingasse;P. P. Dominikaner;Landstraﬂe;48.1945868;16.395692;Behsel Stadtplan, WStLA, P1: 295/8;
402;Steingasse 176;176;158;180;;Steingasse;P. P. Dominikaner;Landstraﬂe;48.1947375;16.3959014;Behsel Stadtplan, WStLA, P1: 295/8;
403;Steingasse 177;177;159;179;;Steingasse;P. P. Dominikaner;Landstraﬂe;48.1948926;16.3960925;Behsel Stadtplan, WStLA, P1: 295/8;
193;Hauptstraﬂe 158;158;;;;Hauptstraﬂe;B¸rgerspital in Wien;Landstraﬂe;48.192085;16.399685;Behsel Stadtplan, WStLA, P1: 295/6;Landstraﬂe
194;Hauptstraﬂe 157;157;531;;;Hauptstraﬂe;B¸rgerspital in Wien;Landstraﬂe;48.192241;16.39954;Behsel Stadtplan, WStLA, P1: 295/6;Landstraﬂe
195;Hauptstraﬂe 156;156;;;;Hauptstraﬂe;B¸rgerspital in Wien;Landstraﬂe;48.192434;16.399353;Behsel Stadtplan, WStLA, P1: 295/6;Landstraﬂe
196;Hauptstraﬂe 160;160;;;;Hauptstraﬂe;B¸rgerspital in Wien;Landstraﬂe;48.192034;16.400421;Behsel Stadtplan, WStLA, P1: 295/6;Landstraﬂe
197;Hauptstraﬂe 161;161;;;;Hauptstraﬂe;B¸rgerspital in Wien;Landstraﬂe;48.191682;16.400096;Behsel Stadtplan, WStLA, P1: 295/6;Landstraﬂe
198;Hauptstraﬂe 162;162;;;;Hauptstraﬂe;B¸rgerspital in Wien;Landstraﬂe;48.191522;16.40025;Behsel Stadtplan, WStLA, P1: 295/6;Landstraﬂe
199;Hauptstraﬂe am Paulusgrund 553;553;;;;Hauptstraﬂe am Paulusgrund;B¸rgerspital in Wien;Landstraﬂe;48.191953;16.399831;Behsel Stadtplan, WStLA, P1: 295/6;Landstraﬂe
200;Rennweggasse 554;554;;;;Rennweggasse;B¸rgerspital in Wien;Landstraﬂe;48.19213;16.400172;Behsel Stadtplan, WStLA, P1: 295/6;Landstraﬂe
201;Hauptstraﬂe 155;155;530;;;Hauptstraﬂe;B¸rgerspital in Wien;Landstraﬂe;48.192619;16.399144;Behsel Stadtplan, WStLA, P1: 295/6;Landstraﬂe
202;Hauptstraﬂe 154;154;529;;;Hauptstraﬂe;B¸rgerspital in Wien;Landstraﬂe;48.192804;16.398965;Behsel Stadtplan, WStLA, P1: 295/6;Landstraﬂe
203;Hauptstraﬂe 163;163;;;;Hauptstraﬂe;B¸rgerspital in Wien;Landstraﬂe;48.191286;16.400481;Behsel Stadtplan, WStLA, P1: 295/6;Landstraﬂe
204;Hauptstraﬂe 164;164;;;;Hauptstraﬂe;B¸rgerspital in Wien;Landstraﬂe;48.191084;16.400681;Behsel Stadtplan, WStLA, P1: 295/6;Landstraﬂe
205;Hauptstraﬂe 165;165;;;;Hauptstraﬂe;B¸rgerspital in Wien;Landstraﬂe;48.190908;16.400857;Behsel Stadtplan, WStLA, P1: 295/6;Landstraﬂe
130;Baumgasse 139;139;137;198;;Baumgasse;Magistrat der Stadt Wien;Landstraﬂe;48.196487;16.396615;Behsel Stadtplan, WStLA, P1: 295/6;Landstraﬂe
135;Hauptstraﬂe 142;142;139;197;;Hauptstraﬂe;Domkapitel;Landstraﬂe;48.196509;16.396343;Behsel Stadtplan, WStLA, P1: 295/6;Landstraﬂe
134;Baumgasse 141;141;138;466;;Baumgasse;Domkapitel;Landstraﬂe;48.196451;16.396405;Behsel Stadtplan, WStLA, P1: 295/6;Landstraﬂe
81;Kirchengasse 135;135;133;202;;Kirchengasse;Magistrat der Stadt Wien;Landstraﬂe;48.197258;16.396389;Behsel Stadtplan, WStLA, P1: 295/6;Landstraﬂe
80;Kirchengasse 134;134;495;;;Kirchengasse;Magistrat der Stadt Wien;Landstraﬂe;48.197357;16.396434;Behsel Stadtplan, WStLA, P1: 295/6;Landstraﬂe
136;Hauptstraﬂe 143;143;140;;;Hauptstraﬂe;Domkapitel;Landstraﬂe;48.196535;16.396208;Behsel Stadtplan, WStLA, P1: 295/6;Landstraﬂe
1023;Hauptstraﬂe 196;196;176;174;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.196299;16.3958007;Behsel Stadtplan, WStLA, P1: 295/8;
1024;Hauptstraﬂe 197;197;177;173;;Hauptstraﬂe;Magistrat der Stadt Wien;Landstraﬂe;48.1964242;16.3957828;Behsel Stadtplan, WStLA, P1: 295/8;
