id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;Viertel;Latitude;Longitude;reference
895;#NV;336;#NV;;#NV;#NV;#NV;Neubau;Altlerchenfeld;48.208901;16.3397064;Behsel Stadtplan, WStLA, P1: 295/12G
896;Kaiserstraﬂe n‰chst der Linie 55;55;226;;;Kaiserstraﬂe n‰chst der Linie;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2082895;16.3392093;Behsel Stadtplan, WStLA, P1: 295/12G
897;Altlerchenfelder-Hauptstraﬂe 56;56;40;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2085092;16.3394587;Behsel Stadtplan, WStLA, P1: 295/12G
898;Altlerchenfelder-Hauptstraﬂe 57;57;41;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2084081;16.339614;Behsel Stadtplan, WStLA, P1: 295/12G
899;Altlerchenfelder-Hauptstraﬂe 58;58;42;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2083663;16.3397884;Behsel Stadtplan, WStLA, P1: 295/12G
900;Altlerchenfelder-Hauptstraﬂe 59;59;43;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2082942;16.3401181;Behsel Stadtplan, WStLA, P1: 295/12G
901;Altlerchenfelder-Hauptstraﬂe 60;60;44;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2082372;16.3404373;Behsel Stadtplan, WStLA, P1: 295/12G
902;Altlerchenfelder-Hauptstraﬂe 61;61;45;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2082175;16.3405332;Behsel Stadtplan, WStLA, P1: 295/12G
903;Altlerchenfelder-Hauptstraﬂe 62;62;46;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2081954;16.3406256;Behsel Stadtplan, WStLA, P1: 295/12G
904;Altlerchenfelder-Hauptstraﬂe 63;63;47;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2081675;16.3407652;Behsel Stadtplan, WStLA, P1: 295/12G
905;Altlerchenfelder-Hauptstraﬂe 64;64;48;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2081407;16.3409256;Behsel Stadtplan, WStLA, P1: 295/12G
906;Altlerchenfelder-Hauptstraﬂe 65;65;49;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2081163;16.3410303;Behsel Stadtplan, WStLA, P1: 295/12G
907;Altlerchenfelder-Hauptstraﬂe 66;66;50;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2080942;16.3411245;Behsel Stadtplan, WStLA, P1: 295/12G
908;Altlerchenfelder-Hauptstraﬂe 67;67;51;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2080745;16.3412274;Behsel Stadtplan, WStLA, P1: 295/12G
909;Altlerchenfelder-Hauptstraﬂe 68;68;52;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2080594;16.3413146;Behsel Stadtplan, WStLA, P1: 295/12G
910;Altlerchenfelder-Hauptstraﬂe 69;69;53;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2080326;16.341442;Behsel Stadtplan, WStLA, P1: 295/12G
911;Altlerchenfelder-Hauptstraﬂe 70;70;54;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2080082;16.341578;Behsel Stadtplan, WStLA, P1: 295/12G
912;Altlerchenfelder-Hauptstraﬂe 71;71;55;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2079792;16.3417141;Behsel Stadtplan, WStLA, P1: 295/12G
913;Altlerchenfelder-Hauptstraﬂe 72;72;56;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2079513;16.3418501;Behsel Stadtplan, WStLA, P1: 295/12G
914;Altlerchenfelder-Hauptstraﬂe 73;73;57;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2079234;16.3420001;Behsel Stadtplan, WStLA, P1: 295/12G
915;Altlerchenfelder-Hauptstraﬂe 74;74;58;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2078815;16.3421955;Behsel Stadtplan, WStLA, P1: 295/12G
916;Altlerchenfelder-Hauptstraﬂe 75;75;59;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2078385;16.3423978;Behsel Stadtplan, WStLA, P1: 295/12G
917;Altlerchenfelder-Hauptstraﬂe 76;76;"60;61";;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2078071;16.3425321;Behsel Stadtplan, WStLA, P1: 295/12G
918;Altlerchenfelder-Hauptstraﬂe 77;77;62;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2077757;16.3426874;Behsel Stadtplan, WStLA, P1: 295/12G
919;Altlerchenfelder-Hauptstraﬂe 78;78;63;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2077595;16.3427955;Behsel Stadtplan, WStLA, P1: 295/12G
920;Altlerchenfelder-Hauptstraﬂe 79;79;64;;;Altlerchenfelder-Hauptstraﬂe;Magistrat der Stadt Wien;Neubau;Altlerchenfeld;48.2077304;16.3429874;Behsel Stadtplan, WStLA, P1: 295/12G
