id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Vorstadt;Viertel;Latitude;Longitude;reference
82;Am Platzel 61;61;15;6;;Am Platzel;Stift Schotten;St. Ulrich;;48.2054659;16.3535569;Behsel Stadtplan, WStLA, P1: 295/13G
83;Am Platzel 62;62;14;5;;Am Platzel;Stift Schotten;St. Ulrich;;48.2054843;16.3537303;Behsel Stadtplan, WStLA, P1: 295/13G
84;Am Platzel 63;63;13;4;;Am Platzel;Stift Schotten;St. Ulrich;;48.205486;16.3539088;Behsel Stadtplan, WStLA, P1: 295/13G
85;Am Platzel 64;64;12;3;;Am Platzel;Stift Schotten;St. Ulrich;;48.2054893;16.3540546;Behsel Stadtplan, WStLA, P1: 295/13G
86;Kapuzingergasse 65;65;11;120;;Kapuzingergasse;Stift Schotten;St. Ulrich;;48.2058361;16.3540244;Behsel Stadtplan, WStLA, P1: 295/13G
87;Kapuzingergasse 66;66;10;119;;Kapuzingergasse;Stift Schotten;St. Ulrich;;48.205981;16.3539986;Behsel Stadtplan, WStLA, P1: 295/13G
88;Kapuzingergasse 67;67;9;118;;Kapuzingergasse;Stift Schotten;St. Ulrich;;48.2061293;16.3539515;Behsel Stadtplan, WStLA, P1: 295/13G
89;Kapuzingergasse 68;68;8;117;;Kapuzingergasse;Stift Schotten;St. Ulrich;;48.2062784;16.3539163;Behsel Stadtplan, WStLA, P1: 295/13G
90;Kapuzingergasse 69;69;7;116;;Kapuzingergasse;Stift Schotten;St. Ulrich;;48.206453;16.3538761;Behsel Stadtplan, WStLA, P1: 295/13G
91;Kapuzingergasse 70;70;4;113;;Kapuzingergasse;Stift Schotten;St. Ulrich;;48.2062855;16.3540822;Behsel Stadtplan, WStLA, P1: 295/13G
92;Kapuzingergasse 71;71;5;114;;Kapuzingergasse;Stift Schotten;St. Ulrich;;48.2065686;16.3540847;Behsel Stadtplan, WStLA, P1: 295/13G
93;Rofranogasse 72;72;6;115;;Rofranogasse;Stift Schotten;St. Ulrich;;48.2066005;16.354316;Behsel Stadtplan, WStLA, P1: 295/13G
94;Rofranogasse 73;73;;0;;Rofranogasse;Stift Schotten;St. Ulrich;;48.2065066;16.3535694;Behsel Stadtplan, WStLA, P1: 295/13G
95;Rofranogasse 74;74;133;0;;Rofranogasse;Stift Schotten;St. Ulrich;;48.2064815;16.353401;Behsel Stadtplan, WStLA, P1: 295/13G
96;Rofranogasse 75;75;132;0;;Rofranogasse;Stift Schotten;St. Ulrich;;48.2064463;16.3532326;Behsel Stadtplan, WStLA, P1: 295/13G
97;Rofranogasse 76;76;131;0;;Rofranogasse;Stift Schotten;St. Ulrich;;48.2063743;16.3527801;Behsel Stadtplan, WStLA, P1: 295/13G
98;Rofranogasse 77;77;131;0;;Rofranogasse;Stift Schotten;St. Ulrich;;48.2062838;16.3522145;Behsel Stadtplan, WStLA, P1: 295/13G
99;Rofranogasse 78;78;57;50;;Rofranogasse;Stift Schotten;St. Ulrich;;48.2064899;16.3525463;Behsel Stadtplan, WStLA, P1: 295/13G
100;Rofranogasse 79;79;58;51;;Rofranogasse;Stift Schotten;St. Ulrich;;48.2064178;16.3522271;Behsel Stadtplan, WStLA, P1: 295/13G
101;Neudeggergasse 80;80;59;52;;Neudeggergasse;Stift Schotten;St. Ulrich;;48.2066273;16.3520084;Behsel Stadtplan, WStLA, P1: 295/13G
102;Neudeggergasse 81;81;60;53;;Neudeggergasse;Stift Schotten;St. Ulrich;;48.206763;16.3519757;Behsel Stadtplan, WStLA, P1: 295/13G
103;Neudeggergasse 82;82;61;111;;Neudeggergasse;Stift Schotten;St. Ulrich;;48.2068802;16.3519405;Behsel Stadtplan, WStLA, P1: 295/13G
104;Neudeggergasse 83;83;62;89;;Neudeggergasse;Stift Schotten;St. Ulrich;;48.2070662;16.3518902;Behsel Stadtplan, WStLA, P1: 295/13G
105;Neudeggergasse 84;84;63;90;;Neudeggergasse;Stift Schotten;St. Ulrich;;48.2072588;16.3518274;Behsel Stadtplan, WStLA, P1: 295/13G
106;Neudeggergasse 85;85;64;91;;Neudeggergasse;Stift Schotten;St. Ulrich;;48.2074414;16.3517696;Behsel Stadtplan, WStLA, P1: 295/13G
107;Neudeggergasse 86;86;65;92;;Neudeggergasse;Stift Schotten;St. Ulrich;;48.2075788;16.3517268;Behsel Stadtplan, WStLA, P1: 295/13G
108;Neudeggergasse 87;87;66;93;;Neudeggergasse;Stift Schotten;St. Ulrich;;48.2076709;16.3516866;Behsel Stadtplan, WStLA, P1: 295/13G
109;Neudeggergasse 88;88;67;94;;Neudeggergasse;Stift Schotten;St. Ulrich;;48.2078334;16.3516389;Behsel Stadtplan, WStLA, P1: 295/13G
110;Neudeggergasse 89;89;68;0;;Neudeggergasse;Stift Schotten;St. Ulrich;;48.2081182;16.3515559;Behsel Stadtplan, WStLA, P1: 295/13G
111;Neudeggergasse 90;90;69;95;;Neudeggergasse;Stift Schotten;St. Ulrich;;48.2081819;16.3513573;Behsel Stadtplan, WStLA, P1: 295/13G
112;Neudeggergasse 91;91;70;109;;Neudeggergasse;Stift Schotten;St. Ulrich;;48.207738;16.3514855;Behsel Stadtplan, WStLA, P1: 295/13G
113;Neudeggergasse 92;92;71;101;;Neudeggergasse;Stift Schotten;St. Ulrich;;48.2074733;16.3515735;Behsel Stadtplan, WStLA, P1: 295/13G
114;Neudeggergasse 93;93;72;102;;Neudeggergasse;Stift Schotten;St. Ulrich;;48.2071499;16.3516791;Behsel Stadtplan, WStLA, P1: 295/13G
115;Neudeggergasse 94;94;73;107;;Neudeggergasse;Stift Schotten;St. Ulrich;;48.2070025;16.3517193;Behsel Stadtplan, WStLA, P1: 295/13G
116;Neudeggergasse 95;95;74;100;;Neudeggergasse;Stift Schotten;St. Ulrich;;48.2069322;16.3517419;Behsel Stadtplan, WStLA, P1: 295/13G
117;Neudeggergasse 96;96;75;106;;Neudeggergasse;Stift Schotten;St. Ulrich;;48.2068484;16.3517671;Behsel Stadtplan, WStLA, P1: 295/13G
118;Neudeggergasse 97;97;76;98;;Neudeggergasse;Stift Schotten;St. Ulrich;;48.2067127;16.3518048;Behsel Stadtplan, WStLA, P1: 295/13G
119;Neudeggergasse 98;98;77;123;;Neudeggergasse;Stift Schotten;St. Ulrich;;48.2065871;16.351845;Behsel Stadtplan, WStLA, P1: 295/13G
120;Neudeggergasse 99;99;78;54;;Neudeggergasse;Stift Schotten;St. Ulrich;;48.2064547;16.3518953;Behsel Stadtplan, WStLA, P1: 295/13G
121;Rofranogasse 100;100;79;110;;Rofranogasse;Stift Schotten;St. Ulrich;;48.2063743;16.3517193;Behsel Stadtplan, WStLA, P1: 295/13G
122;Rofranogasse 101;101;80;55;;Rofranogasse;Stift Schotten;St. Ulrich;;48.2063508;16.3515408;Behsel Stadtplan, WStLA, P1: 295/13G
123;Neue Schottengasse 102;102;81;56;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.2063977;16.3513573;Behsel Stadtplan, WStLA, P1: 295/13G
124;Neue Schottengasse 103;103;82;0;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.2065519;16.3513246;Behsel Stadtplan, WStLA, P1: 295/13G
125;Neue Schottengasse 104;104;83;105;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.2066323;16.3513045;Behsel Stadtplan, WStLA, P1: 295/13G
126;Neue Schottengasse 105;105;84;83;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.2068082;16.3512492;Behsel Stadtplan, WStLA, P1: 295/13G
127;Neue Schottengasse 106;106;85;84;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.2068869;16.3512367;Behsel Stadtplan, WStLA, P1: 295/13G
128;Neue Schottengasse 107;107;86;85;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.206969;16.3512191;Behsel Stadtplan, WStLA, P1: 295/13G
129;Neue Schottengasse 108;108;87;86;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.2070394;16.3512015;Behsel Stadtplan, WStLA, P1: 295/13G
130;Neue Schottengasse 109;109;88;87;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.2071717;16.3511537;Behsel Stadtplan, WStLA, P1: 295/13G
131;Neue Schottengasse 110;110;89;97;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.2072957;16.3511336;Behsel Stadtplan, WStLA, P1: 295/13G
132;Neue Schottengasse 111;111;90;104;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.2074364;16.3511085;Behsel Stadtplan, WStLA, P1: 295/13G
133;Neue Schottengasse 112;112;91;103;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.2075487;16.3510909;Behsel Stadtplan, WStLA, P1: 295/13G
134;Neue Schottengasse 113;113;92;57;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.207691;16.3510682;Behsel Stadtplan, WStLA, P1: 295/13G
135;Neue Schottengasse 114;114;93;108;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.2078971;16.3510205;Behsel Stadtplan, WStLA, P1: 295/13G
136;Neue Schottengasse 115;115;94;96;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.2082539;16.3509526;Behsel Stadtplan, WStLA, P1: 295/13G
137;Neue Schottengasse 116;116;95;99;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.2084198;16.3509074;Behsel Stadtplan, WStLA, P1: 295/13G
138;Neue Schottengasse 117;117;141;0;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.2086024;16.3508722;Behsel Stadtplan, WStLA, P1: 295/13G
139;Neue Schottengasse 118;118;96;58;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.2088805;16.3508118;Behsel Stadtplan, WStLA, P1: 295/13G
140;Neue Schottengasse 119;119;97;122;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.209058;16.3507616;Behsel Stadtplan, WStLA, P1: 295/13G
141;Neue Schottengasse 120;120;98;59;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.2092959;16.3507138;Behsel Stadtplan, WStLA, P1: 295/13G
142;Neue Schottengasse 121;121;99;60;;Neue Schottengasse;Stift Schotten;St. Ulrich;;48.2094316;16.35002;Behsel Stadtplan, WStLA, P1: 295/13G
143;Kaisergasse 122;122;100;61;;Kaisergasse;Stift Schotten;St. Ulrich;;48.2093947;16.3503719;Behsel Stadtplan, WStLA, P1: 295/13G
144;Kaisergasse 123;123;129;0;;Kaisergasse;Stift Schotten;St. Ulrich;;48.2090044;16.3505655;Behsel Stadtplan, WStLA, P1: 295/13G
