id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Vorstadt;lat;lon;reference;Viertel
247;Platzgasse 178;178;522;;;Platzgasse;Magistrat der Stadt Wien;Wieden;48.1951618;16.3687958;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
248;Neumanngasse 179;179;539;;;Neumanngasse;Magistrat der Stadt Wien;Wieden;48.195926;16.3682056;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
249;Kirchenplatz 180;180;540;;;Kirchenplatz;Magistrat der Stadt Wien;Wieden;48.1950836;16.3678621;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
250;Kirchengasse 181;181;541;;;Kirchengasse;Magistrat der Stadt Wien;Wieden;48.1958647;16.3673583;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
251;Kirchengasse 182;182;542;;;Kirchengasse;Magistrat der Stadt Wien;Wieden;48.1958337;16.3678203;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
252;Kirchengasse 183;183;536;;;Kirchengasse;Magistrat der Stadt Wien;Wieden;48.1956838;16.3678679;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
253;Kirchengasse 184;184;535;;;Kirchengasse;Magistrat der Stadt Wien;Wieden;48.1956781;16.3672483;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
254;Altwiedener Hauptstraße 185;185;534;;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.195472;16.3672447;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
255;Altwiedener Hauptstraße 186;186;533;;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1953058;16.3672483;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
256;Platzgasse 187;187;532;;;Platzgasse;Magistrat der Stadt Wien;Wieden;48.1951967;16.3672593;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
257;Platzgasse 188;188;531;;;Platzgasse;Magistrat der Stadt Wien;Wieden;48.1953965;16.3680785;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
258;Platzgasse 190;190;529;;;Platzgasse;Magistrat der Stadt Wien;Wieden;48.1949718;16.3672825;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
259;Altwiedener Hauptstraße 191;191;528;;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1947649;16.3673363;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
260;Altwiedener Hauptstraße 192;192;527;;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1945686;16.3673657;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
261;Altwiedener Hauptstraße 193;193;141;350;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1941523;16.3673938;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
262;Altwiedener Hauptstraße 194;194;142;39;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1937531;16.3673999;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
263;Altwiedener Hauptstraße 200;200;148;45;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1932968;16.367307;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
264;Altwiedener Hauptstraße 201;201;149;46;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1931339;16.3672825;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
265;Altwiedener Hauptstraße 202;202;150;47;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1929702;16.3672447;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
266;Altwiedener Hauptstraße 203;203;151;48;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1927942;16.3672178;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
267;Altwiedener Hauptstraße 204;204;152;49;;Altwiedener Hauptstraße;Magistrat der Stadt Wien;Wieden;48.1925856;16.3671542;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
268;Mayerhöfelgasse 205;205;130;457;;Mayerhöfelgasse;Magistrat der Stadt Wien;Wieden;48.1924064;16.3675453;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
269;Mayerhöfelgasse 206;206;131;398;;Mayerhöfelgasse;Magistrat der Stadt Wien;Wieden;48.1927936;16.3690892;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
270;Mayerhöfelgasse 207;207;132;427;;Mayerhöfelgasse;Magistrat der Stadt Wien;Wieden;48.1928424;16.3692896;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
271;Mayerhöfelgasse 208;208;133;309;;Mayerhöfelgasse;Magistrat der Stadt Wien;Wieden;48.1929011;16.3695193;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
272;Mayerhöfelgasse 209;209;134;428;;Mayerhöfelgasse;Magistrat der Stadt Wien;Wieden;48.1929614;16.3697858;Behsel Stadtplan, WStLA, P1: 295/9G;Wieden
