id;Hausnummer;Vorstadt;Latitude;Longitude;reference;Viertel;alte_1795_1821;ältere_1770_1795;Hausinhaber;Gassen und Plätze;Grundobrigkeit;Adresse
574;96;Spittelberg, Mariahilf;48.2022479;16.3539525;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;126;;;Siebensterngasse;Domkapitel;Siebensterngasse 96
575;97;Spittelberg, Mariahilf;48.2022289;16.3537771;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;127;;;Siebensterngasse;Domkapitel;Siebensterngasse 97
576;98;Spittelberg, Mariahilf;48.20221;16.3535235;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;128;;;Siebensterngasse;Domkapitel;Siebensterngasse 98
577;99;Spittelberg, Mariahilf;48.2021815;16.3532604;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;129;;;Siebensterngasse;Domkapitel;Siebensterngasse 99
578;100;Spittelberg, Mariahilf;48.2021578;16.3530352;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;130;;;Siebensterngasse;Domkapitel;Siebensterngasse 100
579;101;Spittelberg, Mariahilf;48.2021183;16.3528029;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;131;;;Siebensterngasse;Domkapitel;Siebensterngasse 101
580;102;Spittelberg, Mariahilf;48.2020946;16.3525445;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;132;;;Siebensterngasse;Domkapitel;Siebensterngasse 102
581;103;Spittelberg, Mariahilf;48.2019935;16.3515301;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;105;;;Mondscheingasse;Domkapitel;Mondscheingasse 103
582;104;Spittelberg, Mariahilf;48.2014185;16.3512006;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;133;;;Mondscheingasse;Domkapitel;Mondscheingasse 104
583;105;Spittelberg, Mariahilf;48.2012968;16.3510441;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;134;;Gemeinde Grundspital;Mondscheingasse;Domkapitel;Mondscheingasse 105
584;106;Spittelberg, Mariahilf;48.2010835;16.3507763;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;135;;;Mondscheingasse;Domkapitel;Mondscheingasse 106
585;107;Spittelberg, Mariahilf;48.2008592;16.3506602;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;136;;;Rittergasse;Domkapitel;Rittergasse 107
586;108;Spittelberg, Mariahilf;48.2006965;16.3507028;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;137;;;Rittergasse;Domkapitel;Rittergasse 108
587;109;Spittelberg, Mariahilf;48.2005701;16.3507194;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;138;;;Rittergasse;Domkapitel;Rittergasse 109
588;110;Spittelberg, Mariahilf;48.2004232;16.350755;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;139;;;Rittergasse;Domkapitel;Rittergasse 110
589;111;Spittelberg, Mariahilf;48.2000329;16.3508427;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;90;;;Rittergasse;Domkapitel;Rittergasse 111
590;112;Spittelberg, Mariahilf;48.199886;16.3508972;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;91;;;Rittergasse;Domkapitel;Rittergasse 112
591;113;Spittelberg, Mariahilf;48.1997328;16.3509636;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;92;;;Rittergasse;Domkapitel;Rittergasse 113
592;114;Spittelberg, Mariahilf;48.1996064;16.3510038;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;93;;;Rittergasse;Domkapitel;Rittergasse 114
593;115;Spittelberg, Mariahilf;48.2002115;16.3512504;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;89;;;Leopoldigasse;Domkapitel;Leopoldigasse 115
594;116;Spittelberg, Mariahilf;48.2002668;16.3514424;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;88;;;Leopoldigasse;Domkapitel;Leopoldigasse 116
595;117;Spittelberg, Mariahilf;48.2003173;16.3516367;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;87;;;Leopoldigasse;Domkapitel;Leopoldigasse 117
596;118;Spittelberg, Mariahilf;48.2003726;16.3518145;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;86;;;Leopoldigasse;Domkapitel;Leopoldigasse 118
597;119;Spittelberg, Mariahilf;48.2004358;16.3520017;Behsel Stadtplan, WStLA, P1: 295/11G;Mariahilf;85;;;Leopoldigasse;Domkapitel;Leopoldigasse 119
