id;Adresse;Hausnummer;alte_1795_1821;ältere_1770_1795;;Gassen und Plätze;Grundobrigkeit;Vorstadt;Latitude;Longitude;Viertel;reference
98;Untere Gärtnergasse 83;83;76;53;;Untere Gärtnergasse;Magistrat der Stadt Wien;Weißgerber;48.21158;16.3927448;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
99;Untere Gärtnergasse 82;82;75;54;;Untere Gärtnergasse;Magistrat der Stadt Wien;Weißgerber;48.2119212;16.3923236;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
100;Kirchengasse 66;66;58;36;;Kirchengasse;Magistrat der Stadt Wien;Weißgerber;48.2104964;16.3906513;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
101;Kirchengasse 67;67;59;35;;Kirchengasse;Magistrat der Stadt Wien;Weißgerber;48.2102732;16.3908673;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
102;Kirchengasse 65;65;57;83;;Kirchengasse;Magistrat der Stadt Wien;Weißgerber;48.2109096;16.3902554;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
103;Kirchengasse 64;64;56;37;;Kirchengasse;Magistrat der Stadt Wien;Weißgerber;48.2110766;16.3901238;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
104;Kirchengasse 62;62;54;39;;Kirchengasse;Magistrat der Stadt Wien;Weißgerber;48.2112339;16.3902536;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
105;Kirchengasse 63;63;55;38;;Kirchengasse;Magistrat der Stadt Wien;Weißgerber;48.2112363;16.3900058;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
106;Seilergasse 57;57;109;;;Seilergasse;Stift Schotten;Weißgerber;48.2106967;16.3892095;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
107;Löwengasse 70;70;63;31;;Löwengasse;Magistrat der Stadt Wien;Weißgerber;48.2092253;16.3921166;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
108;Löwengasse 69;69;62;32;;Löwengasse;Magistrat der Stadt Wien;Weißgerber;48.2093693;16.3919513;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
109;Kirchengasse 68;68;60;34;;Kirchengasse;Magistrat der Stadt Wien;Weißgerber;48.2097214;16.3914883;Weißgerber;Behsel Stadtplan, WStLA, P1: 295/7
