id;Adresse;Hausnummer;alte_1795_1821;‰ltere_1770_1795;Hausinhaber;Gassen und Pl‰tze;Grundobrigkeit;Vorstadt;Viertel;Latitude;Longitude;reference
766;3 Lausergasse 289;289;150;142;;3 Lausergasse;Stift Schotten;Neubau;Neubau;48.1995397;16.347116;Behsel Stadtplan, WStLA, P1: 295/12G
767;3 Lausergasse 290;290;151;143;;3 Lausergasse;Stift Schotten;Neubau;Neubau;48.199586;16.3474415;Behsel Stadtplan, WStLA, P1: 295/12G
768;3 Lausergasse 291;291;152;140;;3 Lausergasse;Stift Schotten;Neubau;Neubau;48.1996121;16.3477528;Behsel Stadtplan, WStLA, P1: 295/12G
769;3 Lausergasse 292;292;153;131;;3 Lausergasse;Stift Schotten;Neubau;Neubau;48.1996832;16.3482705;Behsel Stadtplan, WStLA, P1: 295/12G
770;3 Lausergasse 293;293;154;132;;3 Lausergasse;Stift Schotten;Neubau;Neubau;48.199733;16.3486761;Behsel Stadtplan, WStLA, P1: 295/12G
771;3 Lausergasse 294;294;143;124;;3 Lausergasse;Stift Schotten;Neubau;Neubau;48.1998717;16.3486156;Behsel Stadtplan, WStLA, P1: 295/12G
772;3 Lausergasse 295;295;144;125;;3 Lausergasse;Stift Schotten;Neubau;Neubau;48.1998362;16.3483079;Behsel Stadtplan, WStLA, P1: 295/12G
773;3 Lausergasse 296;296;145;"126;127";;3 Lausergasse;Stift Schotten;Neubau;Neubau;48.1997887;16.347872;Behsel Stadtplan, WStLA, P1: 295/12G
774;3 Lausergasse 297;297;146;128;;3 Lausergasse;Stift Schotten;Neubau;Neubau;48.1997425;16.3473704;Behsel Stadtplan, WStLA, P1: 295/12G
775;3 Lausergasse 298;298;147;129;;3 Lausergasse;Stift Schotten;Neubau;Neubau;48.1996974;16.3470697;Behsel Stadtplan, WStLA, P1: 295/12G
776;3 Lausergasse 299;299;148;130;;3 Lausergasse;Stift Schotten;Neubau;Neubau;48.1996417;16.3466659;Behsel Stadtplan, WStLA, P1: 295/12G
777;3 Lausergasse 300;300;149;141;;3 Lausergasse;Stift Schotten;Neubau;Neubau;48.1994342;16.3468153;Behsel Stadtplan, WStLA, P1: 295/12G
778;3 Lausergasse 301;301;285;;;3 Lausergasse;Stift Schotten;Neubau;Neubau;48.1992374;16.3468812;Behsel Stadtplan, WStLA, P1: 295/12G
779;Andreasgasse 302;302;"283;284";;;Andreasgasse;Stift Schotten;Neubau;Neubau;48.1990476;16.3469416;Behsel Stadtplan, WStLA, P1: 295/12G
780;Andreasgasse 303;303;"281;282";;;Andreasgasse;Stift Schotten;Neubau;Neubau;48.1987334;16.3470715;Behsel Stadtplan, WStLA, P1: 295/12G
781;Andreasgasse 304;304;280;;;Andreasgasse;Stift Schotten;Neubau;Neubau;48.1983421;16.3472209;Behsel Stadtplan, WStLA, P1: 295/12G
782;Mariahilfer-Hauptstraﬂe 305;305;177;159;;Mariahilfer-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.1976283;16.3474291;Behsel Stadtplan, WStLA, P1: 295/12G
783;Andreasgasse 310;310;;;;Andreasgasse;Stift Schotten;Neubau;Neubau;48.1980753;16.3473366;Behsel Stadtplan, WStLA, P1: 295/12G
784;Mariahilfer-Hauptstraﬂe 306;306;178;160;K. K. Holzstadel;Mariahilfer-Hauptstraﬂe;Stift Schotten;Neubau;Neubau;48.1974362;16.3467353;Behsel Stadtplan, WStLA, P1: 295/12G
